# sample,position
2569602_20250417_transwell_sATA1521_16hPI_rep1_60x_,s1
2569602_20250417_transwell_sATA1521_16hPI_rep1_60x_,s2
2569602_20250417_transwell_sATA1521_16hPI_rep1_60x_,s3
2569602_20250417_transwell_sATA1521_16hPI_rep1_60x_,s4
2569602_20250417_transwell_sATA1521_16hPI_rep1_60x_,s5
2569607_20250417_transwell_sATA1521_16hPI_rep2_60x_001,s1
2569607_20250417_transwell_sATA1521_16hPI_rep2_60x_001,s2
2569607_20250417_transwell_sATA1521_16hPI_rep2_60x_001,s3
2569607_20250417_transwell_sATA1521_16hPI_rep2_60x_001,s4
2569607_20250417_transwell_sATA1521_16hPI_rep2_60x_001,s5
2569612_20250417_transwell_sATA1521_16hPI_rep3_60x_,s1
2569612_20250417_transwell_sATA1521_16hPI_rep3_60x_,s2
2569612_20250417_transwell_sATA1521_16hPI_rep3_60x_,s3
2569612_20250417_transwell_sATA1521_16hPI_rep3_60x_,s4
2569612_20250417_transwell_sATA1521_16hPI_rep3_60x_,s5
2710362_20251010_transwell_sATA1944_1947_24hPI_60x_rep1_,s1
2710362_20251010_transwell_sATA1944_1947_24hPI_60x_rep1_,s2
2710362_20251010_transwell_sATA1944_1947_24hPI_60x_rep1_,s3
2710362_20251010_transwell_sATA1944_1947_24hPI_60x_rep1_,s4
2710362_20251010_transwell_sATA1944_1947_24hPI_60x_rep1_,s5
2710380_20251010_transwell_sATA1944_1947_24hPI_60x_rep2_001,s1
2710380_20251010_transwell_sATA1944_1947_24hPI_60x_rep2_001,s2
2710380_20251010_transwell_sATA1944_1947_24hPI_60x_rep2_001,s3
2710380_20251010_transwell_sATA1944_1947_24hPI_60x_rep2_001,s4
2710380_20251010_transwell_sATA1944_1947_24hPI_60x_rep2_001,s5
2783158_20251212_transwell_sATA1946_sATA2044_16hPI_60xOIL_rep1_005,s1
2783158_20251212_transwell_sATA1946_sATA2044_16hPI_60xOIL_rep1_005,s2
2783158_20251212_transwell_sATA1946_sATA2044_16hPI_60xOIL_rep1_005,s3
2783158_20251212_transwell_sATA1946_sATA2044_16hPI_60xOIL_rep1_005,s4
2783158_20251212_transwell_sATA1946_sATA2044_16hPI_60xOIL_rep1_005,s5
2783167_20251212_transwell_sATA1946_sATA2044_16hPI_60xOIL_rep2_006,s1
2783167_20251212_transwell_sATA1946_sATA2044_16hPI_60xOIL_rep2_006,s2
2783167_20251212_transwell_sATA1946_sATA2044_16hPI_60xOIL_rep2_006,s3
2783167_20251212_transwell_sATA1946_sATA2044_16hPI_60xOIL_rep2_006,s4
2783167_20251212_transwell_sATA1946_sATA2044_16hPI_60xOIL_rep2_006,s5
2789297_20251219_transwell_sATA2130_24hPI_60xOIL_rep2_001,s1
2789297_20251219_transwell_sATA2130_24hPI_60xOIL_rep2_001,s2
2789297_20251219_transwell_sATA2130_24hPI_60xOIL_rep2_001,s3
2789297_20251219_transwell_sATA2130_24hPI_60xOIL_rep2_001,s4
2789297_20251219_transwell_sATA2130_24hPI_60xOIL_rep2_001,s5
2789302_20251219_transwell_sATA2130_24hPI_60xOIL_rep3_002,s1
2789302_20251219_transwell_sATA2130_24hPI_60xOIL_rep3_002,s2
2789302_20251219_transwell_sATA2130_24hPI_60xOIL_rep3_002,s3
2789302_20251219_transwell_sATA2130_24hPI_60xOIL_rep3_002,s4
2789302_20251219_transwell_sATA2130_24hPI_60xOIL_rep3_002,s5
2828586_20260210_tw_sATA1946_sATA2044_16hPI_rep3_60xOIL_001,s1
2828586_20260210_tw_sATA1946_sATA2044_16hPI_rep3_60xOIL_001,s2
2828586_20260210_tw_sATA1946_sATA2044_16hPI_rep3_60xOIL_001,s3
2828586_20260210_tw_sATA1946_sATA2044_16hPI_rep3_60xOIL_001,s4
