Time | RAM Used/Total | VRAM Used/Total
02:39:50 | 126Gi/503Gi | 7,MiB/12288MiB
02:39:51 | 126Gi/503Gi | 7,MiB/12288MiB
02:39:52 | 126Gi/503Gi | 7,MiB/12288MiB
02:39:53 | 126Gi/503Gi | 7,MiB/12288MiB
02:39:54 | 126Gi/503Gi | 7,MiB/12288MiB
02:39:55 | 127Gi/503Gi | 7,MiB/12288MiB
02:39:56 | 127Gi/503Gi | 7,MiB/12288MiB
02:39:57 | 127Gi/503Gi | 203,MiB/12288MiB
02:39:58 | 127Gi/503Gi | 203,MiB/12288MiB
02:39:59 | 128Gi/503Gi | 203,MiB/12288MiB
02:40:00 | 129Gi/503Gi | 203,MiB/12288MiB
02:40:01 | 131Gi/503Gi | 203,MiB/12288MiB
02:40:02 | 134Gi/503Gi | 203,MiB/12288MiB
02:40:03 | 136Gi/503Gi | 203,MiB/12288MiB
02:40:04 | 137Gi/503Gi | 203,MiB/12288MiB
02:40:05 | 135Gi/503Gi | 203,MiB/12288MiB
02:40:06 | 135Gi/503Gi | 203,MiB/12288MiB
02:40:07 | 135Gi/503Gi | 203,MiB/12288MiB
02:40:08 | 135Gi/503Gi | 203,MiB/12288MiB
02:40:09 | 135Gi/503Gi | 303,MiB/12288MiB
02:40:11 | 135Gi/503Gi | 10057,MiB/12288MiB
02:40:12 | 136Gi/503Gi | 10057,MiB/12288MiB
02:40:13 | 136Gi/503Gi | 10057,MiB/12288MiB
02:40:14 | 136Gi/503Gi | 10057,MiB/12288MiB
02:40:15 | 136Gi/503Gi | 10057,MiB/12288MiB
02:40:16 | 136Gi/503Gi | 10057,MiB/12288MiB
02:40:17 | 136Gi/503Gi | 10057,MiB/12288MiB
02:40:18 | 136Gi/503Gi | 10057,MiB/12288MiB
02:40:19 | 137Gi/503Gi | 10057,MiB/12288MiB
02:40:20 | 137Gi/503Gi | 10057,MiB/12288MiB
02:40:21 | 137Gi/503Gi | 10057,MiB/12288MiB
02:40:22 | 137Gi/503Gi | 10057,MiB/12288MiB
02:40:23 | 134Gi/503Gi | 10057,MiB/12288MiB
02:40:24 | 135Gi/503Gi | 10057,MiB/12288MiB
02:40:25 | 135Gi/503Gi | 10057,MiB/12288MiB
02:40:26 | 136Gi/503Gi | 10057,MiB/12288MiB
02:40:27 | 136Gi/503Gi | 10057,MiB/12288MiB
02:40:28 | 137Gi/503Gi | 10057,MiB/12288MiB
02:40:30 | 138Gi/503Gi | 10057,MiB/12288MiB
02:40:31 | 139Gi/503Gi | 10057,MiB/12288MiB
02:40:32 | 137Gi/503Gi | 10057,MiB/12288MiB
02:40:33 | 139Gi/503Gi | 10057,MiB/12288MiB
02:40:34 | 140Gi/503Gi | 10057,MiB/12288MiB
02:40:35 | 141Gi/503Gi | 10057,MiB/12288MiB
02:40:36 | 142Gi/503Gi | 10057,MiB/12288MiB
02:40:37 | 144Gi/503Gi | 10057,MiB/12288MiB
02:40:38 | 144Gi/503Gi | 10057,MiB/12288MiB
02:40:39 | 144Gi/503Gi | 10059,MiB/12288MiB
02:40:40 | 145Gi/503Gi | 10059,MiB/12288MiB
02:40:41 | 145Gi/503Gi | 10059,MiB/12288MiB
02:40:42 | 145Gi/503Gi | 10059,MiB/12288MiB
02:40:43 | 145Gi/503Gi | 10059,MiB/12288MiB
02:40:44 | 145Gi/503Gi | 10059,MiB/12288MiB
02:40:45 | 145Gi/503Gi | 10059,MiB/12288MiB
02:40:46 | 145Gi/503Gi | 10059,MiB/12288MiB
02:40:47 | 145Gi/503Gi | 10059,MiB/12288MiB
02:40:48 | 145Gi/503Gi | 10059,MiB/12288MiB
02:40:50 | 146Gi/503Gi | 10059,MiB/12288MiB
02:40:51 | 146Gi/503Gi | 10059,MiB/12288MiB
02:40:52 | 146Gi/503Gi | 10059,MiB/12288MiB
02:40:53 | 146Gi/503Gi | 10059,MiB/12288MiB
02:40:54 | 146Gi/503Gi | 10059,MiB/12288MiB
02:40:55 | 146Gi/503Gi | 10059,MiB/12288MiB
02:40:56 | 146Gi/503Gi | 10059,MiB/12288MiB
02:40:57 | 146Gi/503Gi | 10059,MiB/12288MiB
02:40:58 | 146Gi/503Gi | 10059,MiB/12288MiB
02:40:59 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:00 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:01 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:02 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:03 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:04 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:05 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:06 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:07 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:08 | 148Gi/503Gi | 10059,MiB/12288MiB
02:41:10 | 148Gi/503Gi | 10059,MiB/12288MiB
02:41:11 | 148Gi/503Gi | 10059,MiB/12288MiB
02:41:12 | 145Gi/503Gi | 10059,MiB/12288MiB
02:41:13 | 146Gi/503Gi | 10059,MiB/12288MiB
02:41:14 | 146Gi/503Gi | 10059,MiB/12288MiB
02:41:15 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:16 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:17 | 148Gi/503Gi | 10059,MiB/12288MiB
02:41:18 | 148Gi/503Gi | 10059,MiB/12288MiB
02:41:19 | 148Gi/503Gi | 10059,MiB/12288MiB
02:41:20 | 145Gi/503Gi | 10059,MiB/12288MiB
02:41:21 | 146Gi/503Gi | 10059,MiB/12288MiB
02:41:22 | 145Gi/503Gi | 10059,MiB/12288MiB
02:41:23 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:24 | 146Gi/503Gi | 10059,MiB/12288MiB
02:41:25 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:26 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:27 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:29 | 147Gi/503Gi | 10059,MiB/12288MiB
02:41:30 | 148Gi/503Gi | 10059,MiB/12288MiB
02:41:31 | 148Gi/503Gi | 10059,MiB/12288MiB
02:41:32 | 148Gi/503Gi | 10059,MiB/12288MiB
02:41:33 | 148Gi/503Gi | 10059,MiB/12288MiB
02:41:34 | 148Gi/503Gi | 10059,MiB/12288MiB
02:41:35 | 148Gi/503Gi | 10059,MiB/12288MiB
02:41:36 | 148Gi/503Gi | 10059,MiB/12288MiB
02:41:37 | 149Gi/503Gi | 10059,MiB/12288MiB
02:41:38 | 149Gi/503Gi | 10059,MiB/12288MiB
02:41:39 | 149Gi/503Gi | 10059,MiB/12288MiB
02:41:40 | 149Gi/503Gi | 10059,MiB/12288MiB
02:41:41 | 149Gi/503Gi | 10059,MiB/12288MiB
02:41:42 | 149Gi/503Gi | 10059,MiB/12288MiB
02:41:43 | 149Gi/503Gi | 10059,MiB/12288MiB
02:41:44 | 149Gi/503Gi | 10059,MiB/12288MiB
02:41:45 | 150Gi/503Gi | 10059,MiB/12288MiB
02:41:46 | 150Gi/503Gi | 10059,MiB/12288MiB
02:41:48 | 150Gi/503Gi | 10059,MiB/12288MiB
02:41:49 | 150Gi/503Gi | 10059,MiB/12288MiB
02:41:50 | 150Gi/503Gi | 10059,MiB/12288MiB
02:41:51 | 150Gi/503Gi | 10059,MiB/12288MiB
02:41:52 | 150Gi/503Gi | 10059,MiB/12288MiB
02:41:53 | 150Gi/503Gi | 10059,MiB/12288MiB
02:41:54 | 150Gi/503Gi | 10059,MiB/12288MiB
02:41:55 | 150Gi/503Gi | 10059,MiB/12288MiB
02:41:56 | 150Gi/503Gi | 10059,MiB/12288MiB
02:41:57 | 151Gi/503Gi | 10059,MiB/12288MiB
02:41:58 | 152Gi/503Gi | 10059,MiB/12288MiB
02:41:59 | 151Gi/503Gi | 10059,MiB/12288MiB
02:42:00 | 150Gi/503Gi | 10059,MiB/12288MiB
02:42:01 | 150Gi/503Gi | 10059,MiB/12288MiB
02:42:02 | 151Gi/503Gi | 10059,MiB/12288MiB
02:42:03 | 151Gi/503Gi | 10059,MiB/12288MiB
02:42:04 | 152Gi/503Gi | 10059,MiB/12288MiB
02:42:05 | 153Gi/503Gi | 10059,MiB/12288MiB
02:42:06 | 153Gi/503Gi | 10059,MiB/12288MiB
02:42:08 | 150Gi/503Gi | 10059,MiB/12288MiB
02:42:09 | 150Gi/503Gi | 10059,MiB/12288MiB
02:42:10 | 150Gi/503Gi | 10059,MiB/12288MiB
02:42:11 | 151Gi/503Gi | 10059,MiB/12288MiB
02:42:12 | 151Gi/503Gi | 10059,MiB/12288MiB
02:42:13 | 154Gi/503Gi | 10059,MiB/12288MiB
02:42:14 | 154Gi/503Gi | 10059,MiB/12288MiB
02:42:15 | 155Gi/503Gi | 10059,MiB/12288MiB
02:42:16 | 157Gi/503Gi | 10059,MiB/12288MiB
02:42:17 | 159Gi/503Gi | 10059,MiB/12288MiB
02:42:18 | 159Gi/503Gi | 10059,MiB/12288MiB
02:42:19 | 159Gi/503Gi | 10059,MiB/12288MiB
02:42:20 | 159Gi/503Gi | 10059,MiB/12288MiB
02:42:21 | 159Gi/503Gi | 10059,MiB/12288MiB
02:42:22 | 159Gi/503Gi | 10059,MiB/12288MiB
02:42:23 | 159Gi/503Gi | 10059,MiB/12288MiB
02:42:24 | 159Gi/503Gi | 10059,MiB/12288MiB
02:42:25 | 159Gi/503Gi | 10059,MiB/12288MiB
02:42:27 | 160Gi/503Gi | 10059,MiB/12288MiB
02:42:28 | 160Gi/503Gi | 10059,MiB/12288MiB
02:42:29 | 156Gi/503Gi | 10059,MiB/12288MiB
02:42:30 | 156Gi/503Gi | 10059,MiB/12288MiB
02:42:31 | 158Gi/503Gi | 10059,MiB/12288MiB
02:42:32 | 160Gi/503Gi | 10059,MiB/12288MiB
02:42:33 | 160Gi/503Gi | 10059,MiB/12288MiB
02:42:34 | 160Gi/503Gi | 10059,MiB/12288MiB
02:42:35 | 160Gi/503Gi | 10059,MiB/12288MiB
02:42:36 | 160Gi/503Gi | 10059,MiB/12288MiB
02:42:37 | 160Gi/503Gi | 10059,MiB/12288MiB
02:42:38 | 158Gi/503Gi | 10059,MiB/12288MiB
02:42:39 | 161Gi/503Gi | 10059,MiB/12288MiB
02:42:40 | 161Gi/503Gi | 10059,MiB/12288MiB
02:42:41 | 161Gi/503Gi | 10059,MiB/12288MiB
02:42:42 | 158Gi/503Gi | 10059,MiB/12288MiB
02:42:43 | 157Gi/503Gi | 10059,MiB/12288MiB
02:42:45 | 155Gi/503Gi | 10059,MiB/12288MiB
02:42:46 | 156Gi/503Gi | 10059,MiB/12288MiB
02:42:47 | 156Gi/503Gi | 10059,MiB/12288MiB
02:42:48 | 153Gi/503Gi | 10059,MiB/12288MiB
02:42:49 | 154Gi/503Gi | 10059,MiB/12288MiB
02:42:50 | 155Gi/503Gi | 10059,MiB/12288MiB
02:42:51 | 155Gi/503Gi | 10059,MiB/12288MiB
02:42:52 | 156Gi/503Gi | 10059,MiB/12288MiB
02:42:53 | 157Gi/503Gi | 10059,MiB/12288MiB
02:42:54 | 158Gi/503Gi | 10059,MiB/12288MiB
02:42:55 | 158Gi/503Gi | 10059,MiB/12288MiB
02:42:56 | 155Gi/503Gi | 10059,MiB/12288MiB
02:42:57 | 156Gi/503Gi | 10059,MiB/12288MiB
02:42:58 | 156Gi/503Gi | 10059,MiB/12288MiB
02:42:59 | 156Gi/503Gi | 10059,MiB/12288MiB
02:43:00 | 156Gi/503Gi | 10059,MiB/12288MiB
02:43:01 | 158Gi/503Gi | 10059,MiB/12288MiB
02:43:02 | 158Gi/503Gi | 10059,MiB/12288MiB
02:43:03 | 160Gi/503Gi | 10059,MiB/12288MiB
02:43:05 | 161Gi/503Gi | 10059,MiB/12288MiB
02:43:06 | 162Gi/503Gi | 10059,MiB/12288MiB
02:43:07 | 159Gi/503Gi | 10059,MiB/12288MiB
02:43:08 | 161Gi/503Gi | 10059,MiB/12288MiB
02:43:09 | 162Gi/503Gi | 10059,MiB/12288MiB
02:43:10 | 164Gi/503Gi | 10059,MiB/12288MiB
02:43:11 | 166Gi/503Gi | 10059,MiB/12288MiB
02:43:12 | 163Gi/503Gi | 10059,MiB/12288MiB
02:43:13 | 165Gi/503Gi | 10059,MiB/12288MiB
02:43:14 | 161Gi/503Gi | 10059,MiB/12288MiB
02:43:15 | 162Gi/503Gi | 10059,MiB/12288MiB
02:43:16 | 164Gi/503Gi | 10059,MiB/12288MiB
02:43:17 | 166Gi/503Gi | 10059,MiB/12288MiB
02:43:18 | 164Gi/503Gi | 10059,MiB/12288MiB
02:43:19 | 165Gi/503Gi | 10059,MiB/12288MiB
02:43:20 | 164Gi/503Gi | 10059,MiB/12288MiB
02:43:21 | 150Gi/503Gi | 10059,MiB/12288MiB
02:43:23 | 150Gi/503Gi | 10059,MiB/12288MiB
02:43:24 | 150Gi/503Gi | 10059,MiB/12288MiB
02:43:25 | 150Gi/503Gi | 10059,MiB/12288MiB
02:43:26 | 151Gi/503Gi | 10059,MiB/12288MiB
02:43:27 | 137Gi/503Gi | 10059,MiB/12288MiB
